IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
104.19.104.201,8443,true,SJC,North America,San Jose,190 ms,1957 kB/s
104.19.57.206,8443,true,SJC,North America,San Jose,301 ms,1807 kB/s
104.19.103.122,8443,true,SJC,North America,San Jose,171 ms,1617 kB/s
104.19.56.121,8443,true,SJC,North America,San Jose,273 ms,1384 kB/s
104.19.57.6,8443,true,SJC,North America,San Jose,249 ms,1179 kB/s
104.19.103.42,8443,true,SJC,North America,San Jose,177 ms,1031 kB/s
104.19.57.166,8443,true,SJC,North America,San Jose,170 ms,987 kB/s
104.19.104.121,8443,true,SJC,North America,San Jose,176 ms,942 kB/s
104.19.103.2,8443,true,SJC,North America,San Jose,184 ms,937 kB/s
104.19.56.1,8443,true,SJC,North America,San Jose,211 ms,642 kB/s
104.19.104.241,8443,true,SJC,North America,San Jose,303 ms,628 kB/s
104.19.57.46,8443,true,SJC,North America,San Jose,169 ms,599 kB/s
104.19.57.246,8443,true,SJC,North America,San Jose,304 ms,582 kB/s
104.19.56.41,8443,true,SJC,North America,San Jose,204 ms,489 kB/s
104.19.56.201,8443,true,SJC,North America,San Jose,199 ms,414 kB/s
104.19.56.81,8443,true,SJC,North America,San Jose,202 ms,403 kB/s
104.19.103.242,8443,true,SJC,North America,San Jose,180 ms,377 kB/s
104.19.104.81,8443,true,SJC,North America,San Jose,190 ms,339 kB/s
104.19.104.41,8443,true,SJC,North America,San Jose,305 ms,299 kB/s
104.19.103.202,8443,true,SJC,North America,San Jose,258 ms,253 kB/s
104.19.57.126,8443,true,SJC,North America,San Jose,286 ms,243 kB/s
104.19.103.162,8443,true,SJC,North America,San Jose,198 ms,190 kB/s
104.19.104.161,8443,true,SJC,North America,San Jose,214 ms,179 kB/s
104.19.56.241,8443,true,SJC,North America,San Jose,258 ms,87 kB/s
104.19.104.1,8443,true,SJC,North America,San Jose,272 ms,0 kB/s
104.19.103.82,8443,true,SJC,North America,San Jose,210 ms,0 kB/s
104.19.57.86,8443,true,SJC,North America,San Jose,277 ms,0 kB/s
104.19.56.161,8443,true,SJC,North America,San Jose,235 ms,0 kB/s
